dot_id,x_px,y_px,diameter_px
1,194.15,44.85,2.96
2,184.17,45.33,2.0
3,190.26,45.55,2.24
4,136.33,45.75,2.0
5,141.37,46.09,2.24
6,128.25,46.18,2.24
7,147.02,46.38,2.96
8,199.29,46.7,2.0
9,172.11,48.61,2.24
10,190.06,49.61,2.24
11,162.48,50.69,2.24
12,184.73,51.84,2.0
13,196.78,51.97,2.0
14,200.83,51.98,2.0
15,172.63,51.99,2.24
16,132.06,52.24,2.0
17,125.46,52.58,2.0
18,118.22,52.79,2.0
19,212.88,53.65,2.0
20,187.1,53.7,2.0
21,132.82,53.71,2.24
22,150.77,54.03,2.96
23,181.99,54.34,2.0
24,205.84,54.38,2.24
25,159.19,54.44,2.0
26,311.67,55.0,2.24
27,325.0,55.0,2.0
28,136.46,55.07,2.0
29,299.85,55.27,2.0
30,319.05,55.28,2.96
31,106.36,55.43,2.24
32,312.07,55.71,2.0
33,303.83,55.78,2.0
34,153.92,55.88,2.24
35,171.03,56.55,2.0
36,362.59,56.69,2.24
37,262.75,56.75,3.16
38,159.97,56.97,2.0
39,273.0,58.0,2.0
40,117.12,58.42,2.0
41,267.92,58.45,2.0
42,169.25,58.5,2.24
43,251.42,59.35,2.0
44,205.08,59.52,2.0
45,149.96,59.59,2.0
46,135.58,59.76,2.24
47,374.44,60.04,3.16
48,265.27,60.38,2.24
49,93.25,60.5,2.24
50,366.66,60.52,2.24
51,197.0,61.0,2.24
52,110.57,61.19,2.24
53,139.1,61.48,2.0
54,261.33,62.52,2.0
55,255.19,62.55,2.0
56,148.07,62.63,2.24
57,96.05,63.23,2.24
58,114.42,63.33,2.0
59,130.17,63.83,2.24
60,120.36,64.12,2.24
61,179.86,64.87,2.0
62,72.0,65.25,2.24
63,148.36,65.39,2.24
64,377.48,65.82,2.24
65,190.76,65.84,2.0
66,79.27,65.96,2.24
67,106.72,66.49,2.24
68,170.47,66.97,2.0
69,165.47,67.12,2.0
70,84.62,67.2,2.24
71,327.13,68.12,2.24
72,150.8,68.28,2.24
73,374.41,68.41,2.24
74,165.13,68.45,2.24
75,93.72,68.53,2.24
76,179.12,68.67,2.0
77,100.45,69.26,2.0
78,178.75,69.26,2.0
79,384.71,69.38,2.0
80,73.31,70.06,2.24
81,203.82,70.16,3.85
82,120.01,70.31,2.0
83,195.77,70.74,2.96
84,166.84,70.81,2.0
85,369.92,71.12,2.96
86,95.19,71.38,2.0
87,422.9,71.43,2.24
88,77.01,71.48,2.24
89,321.7,71.73,2.24
90,155.5,72.0,2.24
91,438.25,72.11,3.11
92,316.08,72.36,2.24
93,67.34,72.75,2.24
94,429.2,73.17,2.24
95,365.18,73.73,2.0
96,187.63,73.76,5.56
97,182.11,74.58,2.0
98,102.16,75.27,2.24
99,356.26,75.39,2.24
100,424.92,76.16,2.24
101,394.67,76.17,2.0
102,200.23,76.41,2.0
103,365.68,76.44,2.0
104,387.19,77.06,2.24
105,89.4,77.23,2.24
106,78.63,77.27,2.24
107,204.72,77.39,2.0
108,399.94,77.43,2.24
109,165.19,77.45,2.24
110,371.41,77.59,2.0
111,375.34,77.88,2.0
112,118.12,78.12,2.24
113,110.46,78.23,2.0
114,99.52,78.33,2.24
115,431.48,79.1,2.24
116,352.28,79.28,2.0
117,341.94,79.97,2.24
118,129.82,80.14,2.24
119,342.4,80.35,2.0
120,309.36,80.49,4.2
121,135.75,80.75,3.16
122,309.88,81.01,2.0
123,338.36,81.24,2.0
124,134.17,81.64,2.24
125,82.5,81.67,2.0
126,189.88,81.91,2.0
127,306.73,81.97,2.96
128,170.92,82.12,2.0
129,179.93,82.48,2.0
130,370.59,82.64,2.0
131,434.05,82.76,2.24
132,126.3,82.83,2.0
133,191.12,82.84,2.24
134,181.75,83.0,2.24
135,80.95,83.07,2.24
136,182.09,83.18,2.0
137,337.54,83.29,2.24
138,381.09,83.31,2.24
139,321.0,83.39,2.24
140,378.58,83.51,5.28
141,418.5,83.6,2.0
142,358.17,83.68,2.24
143,414.44,83.82,2.24
144,204.14,84.0,2.0
145,478.59,84.01,2.0
146,330.01,84.15,2.0
147,408.34,84.24,2.0
148,420.71,84.57,2.24
149,276.17,84.64,2.24
150,116.99,84.84,2.24
151,402.71,84.96,2.0
152,386.5,85.0,2.0
153,431.01,85.32,2.24
154,470.98,85.41,2.24
155,84.84,85.49,2.24
156,409.15,85.92,2.24
157,23.36,86.29,2.0
158,131.77,86.29,2.24
159,446.11,86.66,2.24
160,22.93,86.72,2.0
